Index,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,PARTIC_MEN_Football,MEN_TOTAL_ASSTCOACH_Football
12,New Mexico State,Ind.,Doug Martin,419640,220000,New Mexico State,WAC,28010801,28011103,New Mexico State University,Independent,80,59,New Mexico State,Sun Belt,30343,1978,New Mexico State,35,-8.4,2,New Mexico State University-Main Campus,120,14
297,North Carolina,ACC,Larry Fedora,2575000,900000,North Carolina,ACC,107812619,110809706,North Carolina,Atlantic Coast Conference,91,88,North Carolina,ACC,62980,1927,North Carolina,53.04,-8.4,-7.3,North Carolina,101,18
354,North Carolina State,ACC,Dave Doeren,3000000,1350000,North Carolina State,ACC,92724548,90100025,North Carolina State University,Atlantic Coast Conference,76,54,North Carolina,ACC,62980,1927,North Texas,40,-8.4,-7.3,North Carolina State University at Raleigh,118,10
11,North Texas,C-USA,Seth Littrell,1425000,580000,North Texas,C-USA,40758582,39908256,University of North Texas,Conference USA,81,62,North Texas,CUSA,30850,2011,North Texas,40,-8.4,-7.3,University of North Texas,110,10
293,Northern Illinois,MAC,Rod Carey,633460,205000,Northern Illinois,MAC,28057388,26483239,Northern Illinois University,Mid-American Conference,84,65,Northern Illinois,MAC,24000,1965,Illinois,25,-14.8,-1.9,Northern Illinois University,109,14
91,Northwestern,Big Ten,Pat Fitzgerald,3619775,,Illinois,Big Ten,118565501,120168951,Northwestern University,Big Ten Conference,97,93,Northwestern,Big Ten,47130,1926,Northwestern,77.8,8.8,5.6,Northwestern University,115,14
13,Notre Dame,Ind.,Brian Kelly,2129638,,,,115510518,50201929,University of Notre Dame,Independent,91,85,Notre Dame,Independent,77622,1930,Notre Dame,83.3,13.8,3,Notre Dame University,109,7
248,Ohio,MAC,Frank Solich,580331,333833,Ohio,MAC,34763420,34677243,Ohio University,Mid-American Conference,89,75,Ohio,MAC,24000,1929,Ohio,66.7,17.7,0.2,Ohio Wesleyan University,88,10
99,Ohio State,Big Ten,Urban Meyer,7600000,775000,Ohio State,Big Ten,210548239,220572956,The Ohio State University,Big Ten Conference,69,45,Ohio State,Big Ten,104944,1922,Ohio State,87.5,15.2,0.2,Ohio State University-Main Campus,125,10
233,Oklahoma,Big 12,Lincoln Riley,4800000,700000,Oklahoma,Big 12,163126695,157958270,University of Oklahoma,Big 12 Conference,70,54,Oklahoma,Big 12,84000,1925,Oklahoma,81.8,21.3,4,Oklahoma,114,8
344,Oklahoma State,Big 12,Mike Gundy,5000000,900000,Oklahoma State,Big 12,95335482,95008483,Oklahoma State University,Big 12 Conference,68,50,Oklahoma State,Big 12,60218,1920,Oklahoma,81.8,21.3,4,Northwestern Oklahoma State University,143,13
404,Old Dominion,C-USA,Bobby Wilder,654667,504895,Old Dominion,C-USA,46956655,49376061,Old Dominion University,Conference USA,63,41,Old Dominion,CUSA,20118,1936,,,,,Old Dominion University,118,14
285,Oregon,Pac-12,Mario Cristobal,2500000,1825000,Oregon,Pac-12,127508498,128943543,University of Oregon,Pac-12 Conference,78,63,Oregon,Pac 12,54000,1967,Oregon,57.1,3,-4.6,University of Oregon,120,14
350,Oregon State,Pac-12,Jonathan Smith,1900008,1275000,Oregon State,Pac-12,82058386,82364021,Oregon State University,Pac-12 Conference,75,63,Oregon State,Pac 12,45674,1953,Oregon,57.1,3,-4.6,Oregon State University,126,10
19,Penn State,Big Ten,James Franklin,4800000,1000000,Penn State,Big Ten,164529326,160369805,Penn State,Big Ten Conference,92,91,Penn State,Big Ten,106572,1960,Penn State,44.4,2.1,-5.5,Penn State,112,11
184,Pittsburgh,ACC,Pat Narduzzi,3017718,,Virginia,ACC,110219117,112621238,University of Pittsburgh,Atlantic Coast Conference,86,56,Pittsburgh,ACC,65500,2001,Pittsburgh,54.5,4.5,2,University of Pittsburgh-Pittsburgh Campus,117,14
143,Purdue,Big Ten,Jeff Brohm,3800000,1290000,Purdue,Big Ten,110844907,102026477,Purdue University,Big Ten Conference,79,66,Purdue,Big Ten,62500,1924,Purdue,33.3,-2.7,-5.8,Purdue University-Main Campus,109,14
189,Rice,C-USA,Mike Bloomgren,,,Charlotte,C-USA,40866430,38454232,Rice University,Conference USA,88,86,Rice,CUSA,47000,1950,Rice,40,4.6,10.2,Rice University,105,14
90,Rutgers,Big Ten,Chris Ash,2200000,960000,Rutgers,Big Ten,103251280,103167344,"Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,70,54,Rutgers,Big Ten,52454,1994,Rutgers,33.3,-5.4,5.6,Rutgers University-New Brunswick,122,10
141,San Diego State,Mt. West,Rocky Long,873576,720000,San Diego State,Mt. West,54731404,55379174,San Diego State University,Mountain West Conference,85,73,San Diego State,Mountain West,70561,1967,San Diego St,50,6.9,3.2,San Diego State University,119,10
17,San Jose State,Mt. West,Brent Brennan,590424,210000,San Jose State,Mt. West,32787377,33184068,San Jose State University,Mountain West Conference,72,68,San Jose State,Mountain West,30456,1933,San Jose St,87.5,8.8,6.8,San Jose State University,100,10
360,South Alabama,Sun Belt,Steve Campbell,600000,295000,South Alabama,Sun Belt,33525272,33964076,University of South Alabama,Sun Belt Conference,77,57,South Alabama,Sun Belt,40646,1948,Alabama,100,29.1,7,University of South Alabama,117,14
395,South Carolina,SEC,Will Muschamp,4200000,1400000,South Carolina,SEC,140695659,136879732,"University of South Carolina, Columbia",SEC,89,65,South Carolina,SEC,80250,1934,S Carolina,20,-12.5,-5.3,South Carolina,100,10
142,South Florida,AAC,Charlie Strong,1000000,815000,South Florida,AAC,55045769,53569756,University of South Florida,American Athletic Conference,76,61,South Florida,AAC,65857,1998,Florida St,33.3,-10.2,-7.8,University of South Florida-Main Campus,109,10
356,Southern California,Pac-12,Clay Helton,2625965,,California,Pac-12,87500758,106676734,University of Southern California,Pac-12 Conference,82,62,California,Pac 12,62717,1923,California,25,-6.2,-4.9,University of Southern California,118,13
339,Southern Methodist,AAC,Sonny Dykes,,,Southern,SWAC,15021312,15086644,Southern Methodist University,American Athletic Conference,75,64,Southern Miss,CUSA,36000,1932,S Methodist,70,7.7,-5.2,Southern Methodist University,140,10
369,Southern Mississippi,C-USA,Jay Hopson,500000,870000,Southern Mississippi,C-USA,25687189,25687189,The University of Southern Mississippi,Conference USA,70,55,Southern Miss,CUSA,36000,1932,Mississippi,50,0.9,2.5,University of Southern Mississippi,114,14
149,Stanford,Pac-12,David Shaw,4311543,,California,Pac-12,87500758,106676734,Stanford University,Pac-12 Conference,90,86,Stanford,Pac 12,50000,1921,Stanford,66.7,-2.3,0.5,Stanford University,102,10
218,Syracuse,ACC,Dino Babers,2401206,,Virginia,ACC,110219117,112621238,Syracuse University,Atlantic Coast Conference,88,78,Syracuse,ACC,49250,1980,Syracuse,9.1,-14.9,3.7,Syracuse University,127,10
195,Tennessee,SEC,Jeremy Pruitt,3846000,1200000,Tennessee,SEC,143765903,142976173,Tennessee State University,Ohio Valley Conference,55,36,Tennessee,SEC,102521,1921,Tennessee,30,-8.6,-4.8,Tennessee State University,104,9
320,Texas,Big 12,Tom Herman,5500000,725000,Texas,Big 12,223879781,204234897,Texas,Big 12 Conference,72,63,Texas,Big 12,100119,1924,Texas,70,14.2,4.7,Texas,95,18
0,Texas A&M,SEC,Jimbo Fisher,7500000,1350000,Texas A&M,SEC,212748002,169012456,"Texas A&M University, College Station",Southeastern Conference,73,55,Texas A&M,SEC,102733,1904,Texas A&M,90,10.9,3,West Texas A & M University,147,10
393,Texas Christian,Big 12,Gary Patterson,4840717,,Texas,Big 12,223879781,204234897,Texas Christian University,Big 12 Conference,70,59,Texas,Big 12,100119,1924,Texas,70,14.2,4.7,Texas Christian University,133,10
132,Texas State,Sun Belt,Everett Withers,700000,70833,Texas State,Sun Belt,37834341,37102038,Texas State University,Sun Belt Conference,71,61,Texas State,Sun Belt,30000,1981,Texas State,16.7,-10.5,1.9,Texas State University,120,10
18,Texas Tech,Big 12,Kliff Kingsbury,3703975,1500000,Texas Tech,Big 12,96625347,95132604,Texas Tech University,Big 12 Conference,73,52,Texas Tech,Big 12,60862,1947,Texas Tech,40,-7.6,-7.3,Texas Tech University,124,14
133,Texas-El Paso,C-USA,Dana Dimel,700000,741665,Texas-El Paso,C-USA,33481654,32980563,University of Texas at El Paso,Conference USA,83,63,University of Texas at El Paso,CUSA,51500,2011,TX El Paso,37.5,-8,3,The University of Texas at El Paso,120,14
402,Texas-San Antonio,C-USA,Frank Wilson,1100000,185000,Texas-San Antonio,C-USA,33657739,32278508,University of Texas at San Antonio,Conference USA,83,61,University of Texas at San Antonio,CUSA,72000,2011,TX San Antonio,70,14.2,4.7,The University of Texas at San Antonio,119,10
215,Toledo,MAC,Jason Candle,1125000,585000,Toledo,MAC,35560555,35560555,University of Toledo,Mid-American Conference,86,75,Toledo,MAC,26248,1937,Toledo,66.7,10.7,0.8,University of Toledo,128,10
217,Troy,Sun Belt,Neal Brown,810000,490000,Troy,Sun Belt,32334739,32334739,Troy University,Sun Belt Conference,77,63,Troy,Sun Belt,30000,1950,Troy,45.5,1.6,0.3,Troy University,125,14
165,Tulane,AAC,Willie Fritz,1629000,,Connecticut,AAC,80900404,80814173,Tulane University,American Athletic Conference,88,74,Tulane,AAC,30000,2014,Tulane,50,6.6,6.6,Tulane University of Louisiana,116,10
166,Tulsa,AAC,Philip Montgomery,1518177,,Connecticut,AAC,80900404,80814173,The University of Tulsa,American Athletic Conference,75,66,Tulsa,AAC,35542,1930,Tulsa,66.7,5.6,6.8,University of Tulsa,132,13
144,UCLA,Pac-12,Chip Kelly,3300000,1085000,UCLA,Pac-12,108412967,127339042,UCLA,Pac-12 Conference,90,86,UCLA,Pac 12,89702,1921,UCLA,42.9,4.7,5.7,UCLA,114,9
242,Utah,Pac-12,Kyle Whittingham,3787917,935000,Utah,Pac-12,99526695,96000514,University of Utah,Pac-12 Conference,92,70,Utah,Pac 12,45017,1998,Utah,60,4.2,0.2,University of Utah,132,10
100,Utah State,Mt. West,Matt Wells,900000,765000,Utah State,Mt. West,41558060,40798434,Utah State University,Mountain West Conference,91,67,Utah State,Mountain West,25513,1968,Utah State,16.7,-19.7,-7.5,Utah State University,112,14
194,Vanderbilt,SEC,Derek Mason,2812523,,Florida,SEC,159706937,141829002,Vanderbilt University,Southeastern Conference,95,80,Vanderbilt,SEC,40550,1922,Vanderbilt,0,-22.6,-2.7,Vanderbilt University,111,10
117,Virginia,ACC,Bronco Mendenhall,3550000,2165000,Virginia,ACC,110219117,112621238,University of Virginia,Atlantic Coast Conference,90,77,Virginia,ACC,61500,1931,Virginia,50,1.1,0.2,Virginia State University,113,8
378,Virginia Tech,ACC,Justin Fuente,4000000,435000,Virginia Tech,ACC,96772489,93961068,Virginia Tech,ACC,92,63,Virginia Tech,ACC,66233,1965,Virginia Tech,58.6,-5.1,-5.3,Virginia Tech,117,8
4,Wake Forest,ACC,Dave Clawson,1831580,,Virginia,ACC,110219117,112621238,Wake Forest University,Atlantic Coast Conference,88,73,Wake Forest,ACC,31500,1968,Wake Forest,44.4,3.2,5.1,Wake Forest University,125,10
72,Washington,Pac-12,Chris Petersen,4377500,1050000,Washington,Pac-12,133792677,131317636,University of Washington,Pac-12 Conference,88,65,Washington,Pac 12,70138,1920,Washington,75,5.2,-6.4,Washington,120,18
131,Washington State,Pac-12,Mike Leach,3500000,725000,Washington State,Pac-12,71691339,76258966,Washington State University,Pac-12 Conference,82,59,Washington State,Pac 12,35117,1972,Washington,75,5.2,-6.4,Washington State University,137,14
294,West Virginia,Big 12,Dana Holgorsen,3617500,1000000,West Virginia,Big 12,102680928,98249890,West Virginia University,Big 12 Conference,69,58,West Virginia,Big 12,60000,1980,Virginia,50,1.1,0.2,West Virginia University,127,14
368,Western Kentucky,C-USA,Mike Sanford Jr.,805850,400000,Western Kentucky,C-USA,30770123,30770123,Western Kentucky University,Conference USA,64,46,Western Kentucky,CUSA,22113,1968,Kentucky,45.5,-4.1,-0.4,Western Kentucky University,127,10
338,Western Michigan,MAC,Tim Lester,800000,346500,Western Michigan,MAC,38492604,38997076,Western Michigan University,Mid-American Conference,73,39,Western Michigan,MAC,30200,1939,Michigan,33.3,-6.2,-11.5,Western Michigan University,110,14
79,Wisconsin,Big Ten,Paul Chryst,3750000,,Wisconsin,Big Ten,157660107,154621828,University of Wisconsin-Madison,Big Ten Conference,91,77,Wisconsin,Big Ten,80321,1917,Wisconsin,57.1,7.7,-1.9,Wisconsin,99,17
97,Wyoming,Mt. West,Craig Bohl,1412000,450000,Wyoming,Mt. West,47046852,48154020,University of Wyoming,Mountain West Conference,88,51,Wyoming,Mountain West,29181,1950,Wyoming,33.3,5.5,1.2,University of Wyoming,118,14
