Index,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,PARTIC_MEN_Football,MEN_TOTAL_ASSTCOACH_Football
358,Florida State,ACC,Willie Taggart,5000000,1475000,Florida State,ACC,152757883,150147316,Florida State University,Atlantic Coast Conference,51,35,Florida State,ACC,82300,1950,Florida,66.7,9,-2.3,Florida State University,114,14
359,Fresno State,Mt. West,Jeff Tedford,1550000,2765000,Fresno State,Mt. West,49772999,50079039,"California State University, Fresno",Mountain West Conference,73,60,Fresno State,Mountain West,41031,1980,Fresno St,50,2.8,-2.3,California State University-Fresno,117,14
101,Georgia,SEC,Kirby Smart,6603600,1150000,Georgia,SEC,174042482,143299554,University of Georgia,Southeastern Conference,71,48,Georgia,SEC,92746,1929,Georgia,80,12.3,-0.8,University of Georgia,141,10
292,Georgia Southern,Sun Belt,Chad Lunsford,650000,295000,Georgia Southern,Sun Belt,29483912,29504873,Georgia Southern University,Sun Belt Conference,67,58,Georgia Southern,Sun Belt,24300,1984,Georgia,80,12.3,-0.8,Georgia Southern University,125,16
16,Georgia State,Sun Belt,Shawn Elliott,569000,220000,Georgia State,Sun Belt,35546650,38399491,Georgia State University,Sun Belt Conference,79,72,Georgia State,Sun Belt,23000,1996,Georgia State,60,1.6,3.5,Georgia State University,111,10
372,Georgia Tech,ACC,Paul Johnson,3060018,1330000,Georgia Tech,ACC,85802112,96334831,Georgia Tech,ACC,89,88,Georgia Tech,ACC,55000,1913,Georgia Tech,59.1,-7.6,-7.3,Georgia Tech,126,8
193,Hawaii,Mt. West,Nick Rolovich,486504,1260000,Nevada,Mt. West,43653404,43436728,"University of Hawaii, Manoa",Mountain West Conference,71,56,Hawaii,Mountain West,50000,1975,Hawaii,55.6,-1.3,-0.5,University of Hawaii at Manoa,117,14
167,Houston,AAC,Major Applewhite,1750000,782500,Houston,AAC,75049955,73678308,University of Houston,American Athletic Conference,67,53,Houston,AAC,40000,2014,Houston,37.5,-2,-5.9,University of Houston,118,10
107,Illinois,Big Ten,Lovie Smith,5000000,1000000,Illinois,Big Ten,118565501,120168951,University of Illinois Urbana-Champaign,Big Ten Conference,90,75,Illinois,Big Ten,60670,1923,Illinois,25,-14.8,-1.9,Illinois,116,12
145,Indiana,Big Ten,Tom Allen,1830000,1441668,Indiana,Big Ten,127832628,114822135,"Indiana University, Bloomington",Big Ten Conference,88,63,Indiana,Big Ten,52959,1960,Indiana,75,8.6,9.4,Indiana State University,115,10
304,Iowa,Big Ten,Kirk Ferentz,4700000,2875000,Iowa,Big Ten,151976026,146282275,University of Iowa,Big Ten Conference,87,66,Iowa,Big Ten,70585,1929,Iowa,75,15.8,11.5,University of Iowa,128,14
130,Iowa State,Big 12,Matt Campbell,3500000,750000,Iowa State,Big 12,95411884,95315376,Iowa State University,Big 12 Conference,86,66,Iowa State,Big 12,61000,1975,Iowa State,75,11.5,4.9,Iowa State University,135,10
245,Kansas,Big 12,David Beaty,1701109,2000000,Kansas,Big 12,121553307,108881800,University of Kansas,Big 12 Conference,76,55,Kansas,Big 12,50071,1921,Kansas,0,-30.2,-9.2,University of Kansas,121,13
343,Kansas State,Big 12,Bill Snyder,3500000,580000,Kansas State,Big 12,89919822,83079244,Kansas State University,Big 12 Conference,91,74,Kansas State,Big 12,50000,1968,Kansas,0,-30.2,-9.2,Kansas State University,131,10
