,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,AssistantPay,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,city_txt,classification_name,PARTIC_MEN_Football,TOTAL_OPEXP_MENWOMEN_Football,MEN_TOTAL_HEADCOACH_Football,MEN_TOTAL_ASSTCOACH_Football,TOTAL_REV_MENWOMEN_Football,TOTAL_EXP_MENWOMEN_Football
5,New Mexico,Mt. West,Bob Davie,"$823,740 ","$340,000 ",$0 ,New Mexico,Mt. West,"$40,832,286","$40,832,286",University of New Mexico,Mountain West Conference,61.0,34.0,New Mexico,Mountain West,39224.0,1960.0,New Mexico,28.6%,-8.7,2.4,Western New Mexico University,Silver City,NCAA Division II with football,107.0,203134.0,1.0,2.0,819916.0,870016.0
403,Appalachian State,Sun Belt,Scott Satterfield,"$712,500 ","$295,000 ",$0 ,Appalachian State,Sun Belt,"$37,996,512","$37,773,447",Appalachian State University,Sun Belt Conference,77.0,65.0,Appalachian State,Sun Belt,24150.0,1962.0,Texas State,16.7%,-10.5,1.9,Appalachian State University,Boone,NCAA Division I-FBS,130.0,1340540.0,1.0,10.0,9188013.0,9188013.0
402,Texas-San Antonio,C-USA,Frank Wilson,"$1,100,000 ","$185,000 ",$0 ,Texas-San Antonio,C-USA,"$33,657,739","$32,278,508",University of Texas at San Antonio,Conference USA,83.0,61.0,North Texas,CUSA,72000.0,2011.0,Texas,70.0%,14.2,4.7,The University of Texas at San Antonio,San Antonio,NCAA Division I-FBS,119.0,2841266.0,1.0,10.0,10150720.0,10150720.0
400,East Carolina,AAC,Scottie Montgomery,"$1,102,500 ","$850,000 ",$0 ,East Carolina,AAC,"$59,970,346","$56,281,920",East Carolina University,American Athletic Conference,76.0,71.0,East Carolina,AAC,50000.0,1963.0,S Carolina,20.0%,-12.5,-5.3,East Carolina University,Greenville,NCAA Division I-FBS,108.0,2085883.0,1.0,14.0,11992339.0,11992339.0
297,North Carolina,ACC,Larry Fedora,"$2,575,000 ","$900,000 ",$0 ,North Carolina,ACC,"$107,812,619","$110,809,706",North Carolina State University,Atlantic Coast Conference,76.0,54.0,North Carolina,ACC,62980.0,1927.0,North Texas,40.0%,-8.4,-7.3,North Carolina Central University,Durham,NCAA Division I-FCS,134.0,770677.0,1.0,9.0,4433389.0,4433389.0
97,Wyoming,Mt. West,Craig Bohl,"$1,412,000 ","$450,000 ",$0 ,Wyoming,Mt. West,"$47,046,852","$48,154,020",University of Wyoming,Mountain West Conference,88.0,51.0,Wyoming,Mountain West,29181.0,1950.0,Wyoming,33.3%,5.5,1.2,University of Wyoming,Laramie,NCAA Division I-FBS,118.0,1299304.0,1.0,14.0,17300935.0,12391721.0
71,Ball State,MAC,Mike Neu,"$435,689 ","$380,000 ",$0 ,Ball State,MAC,"$27,678,480","$27,911,602",Ball State University,Mid-American Conference,76.0,64.0,Ball State,MAC,22500.0,1967.0,Ball State,87.5%,8.5,9.4,Ball State University,Muncie,NCAA Division I-FBS,116.0,1789109.0,1.0,14.0,7323546.0,7323546.0
98,Boise State,Mt. West,Bryan Harsin,"$1,650,010 ","$475,000 ",$0 ,Boise State,Mt. West,"$50,599,483","$49,758,472",Boise State University,Mountain West Conference,87.0,61.0,Boise State,Mountain West,37000.0,1970.0,Boise State,71.4%,6.7,-3.0,Boise State University,Boise,NCAA Division I-FBS,109.0,1851728.0,1.0,14.0,20292836.0,14605795.0
354,North Carolina State,ACC,Dave Doeren,"$3,000,000 ","$1,350,000 ",$0 ,North Carolina State,ACC,"$92,724,548","$90,100,025",North Carolina State University,Atlantic Coast Conference,76.0,54.0,North Carolina,ACC,62980.0,1927.0,North Texas,40.0%,-8.4,-7.3,North Carolina State University at Raleigh,Raleigh,NCAA Division I-FBS,118.0,1929166.0,1.0,10.0,47562641.0,23330277.0
348,Kansas State,Big 12,Bill Snyder,"$3,500,000 ","$580,000 ",$0 ,Kansas State,Big 12,"$89,919,822","$83,079,244",Kansas State University,Big 12 Conference,91.0,74.0,Kansas State,Big 12,50000.0,1968.0,Kansas,0.0%,-30.2,-9.2,Kansas State University,Manhattan,NCAA Division I-FBS,131.0,4112199.0,1.0,10.0,45030255.0,22758496.0
371,Central Florida,AAC,Josh Heupel,"$1,700,000 ","$250,000 ",$0 ,Central Florida,AAC,"$69,121,887","$67,916,343",University of Central Florida,American Athletic Conference,81.0,65.0,Central Florida,AAC,45323.0,2007.0,Florida,66.7%,9.0,-2.3,University of Central Florida,Orlando,NCAA Division I-FBS,125.0,2605624.0,1.0,10.0,27348503.0,20426060.0
349,Oregon State,Pac-12,Jonathan Smith,"$1,900,008 ","$1,275,000 ",$0 ,Oregon State,Pac-12,"$82,058,386","$82,364,021",Oregon State University,Pac-12 Conference,75.0,63.0,Oregon State,Pac 12,45674.0,1953.0,Oregon,57.1%,3.0,-4.6,Oregon State University,Corvallis,NCAA Division I-FBS,126.0,1528627.0,1.0,10.0,35619476.0,21931124.0
80,Northwestern,Big Ten,Pat Fitzgerald,"$3,619,775 ",,$0 ,Illinois,Big Ten,"$118,565,501","$120,168,951",Northwestern University,Big Ten Conference,97.0,93.0,Northwestern,Big Ten,47130.0,1926.0,Northwestern,77.8%,8.8,5.6,Northwestern University,Evanston,NCAA Division I-FBS,115.0,2393337.0,1.0,14.0,59510410.0,33092234.0
96,Bowling Green,MAC,Mike Jinks,"$437,228 ","$245,000 ",$0 ,Bowling Green,MAC,"$26,001,184","$25,780,900",Bowling Green State University,Mid-American Conference,78.0,68.0,Bowling Green,MAC,23724.0,1966.0,Bowling Grn,0.0%,-33.6,-13.3,Bowling Green State University-Main Campus,Bowling Green,NCAA Division I-FBS,110.0,1260358.0,1.0,10.0,7183946.0,7183946.0
358,Florida State,ACC,Willie Taggart,"$5,000,000 ","$1,475,000 ",$0 ,Florida State,ACC,"$152,757,883","$150,147,316",Florida State University,Atlantic Coast Conference,51.0,35.0,Florida State,ACC,82300.0,1950.0,Florida,66.7%,9.0,-2.3,Florida State University,Tallahassee,NCAA Division I-FBS,114.0,5323897.0,1.0,14.0,71102595.0,67752719.0
100,Utah State,Mt. West,Matt Wells,"$900,000 ","$765,000 ",$0 ,Utah State,Mt. West,"$41,558,060","$40,798,434",Utah State University,Mountain West Conference,91.0,67.0,Utah State,Mountain West,25513.0,1968.0,Utah State,16.7%,-19.7,-7.5,Utah State University,Logan,NCAA Division I-FBS,112.0,2408720.0,1.0,14.0,13542393.0,13542393.0
130,Iowa State,Big 12,Matt Campbell,"$3,500,000 ","$750,000 ",$0 ,Iowa State,Big 12,"$95,411,884","$95,315,376",Iowa State University,Big 12 Conference,86.0,66.0,Iowa State,Big 12,61000.0,1975.0,Iowa State,75.0%,11.5,4.9,Iowa State University,Ames,NCAA Division I-FBS,135.0,5268267.0,1.0,10.0,52099696.0,29422443.0
341,Mississippi State,SEC,Joe Moorhead,"$2,600,000 ","$1,350,000 ",$0 ,Mississippi State,SEC,"$112,273,809","$98,832,615",Mississippi State University,Southeastern Conference,81.0,68.0,Mississippi State,SEC,64038.0,1914.0,Mississippi,50.0%,0.9,2.5,Mississippi State University,Mississippi State,NCAA Division I-FBS,121.0,4732829.0,1.0,10.0,39962124.0,30506617.0
132,Texas State,Sun Belt,Everett Withers,"$700,000 ","$70,833 ",$0 ,Texas State,Sun Belt,"$37,834,341","$37,102,038",Texas State University,Sun Belt Conference,71.0,61.0,Texas State,Sun Belt,30000.0,1981.0,Texas State,16.7%,-10.5,1.9,Texas State University,San Marcos,NCAA Division I-FBS,120.0,2287652.0,1.0,10.0,8578422.0,8578422.0
107,Illinois,Big Ten,Lovie Smith,"$5,000,000 ","$1,000,000 ",$0 ,Illinois,Big Ten,"$118,565,501","$120,168,951",University of Illinois Urbana-Champaign,Big Ten Conference,90.0,75.0,Illinois,Big Ten,60670.0,1923.0,Illinois,25.0%,-14.8,-1.9,Illinois College,Jacksonville,NCAA Division III with football,110.0,71027.0,1.0,5.0,343448.0,343448.0
144,Stanford,Pac-12,David Shaw,"$4,311,543 ",,$0 ,California,Pac-12,"$87,500,758","$106,676,734",Stanford University,Pac-12 Conference,90.0,86.0,Stanford,Pac 12,50000.0,1921.0,Stanford,66.7%,-2.3,0.5,Stanford University,Stanford,NCAA Division I-FBS,102.0,2864934.0,1.0,10.0,40933017.0,27738893.0
194,Auburn,SEC,Gus Malzahn,"$6,705,656 ","$1,400,000 ",$0 ,Auburn,SEC,"$152,455,416","$139,260,711",Auburn University,Southeastern Conference,79.0,64.0,Auburn,SEC,87451.0,1939.0,Auburn,54.5%,0.4,0.1,Auburn University,Auburn,NCAA Division I-FBS,122.0,5530594.0,1.0,14.0,97665511.0,45953519.0
184,Syracuse,ACC,Dino Babers,"$2,401,206 ",,$0 ,Virginia,ACC,"$110,219,117","$112,621,238",Syracuse University,Atlantic Coast Conference,88.0,78.0,Syracuse,ACC,49250.0,1980.0,Syracuse,9.1%,-14.9,3.7,Syracuse University,Syracuse,NCAA Division I-FBS,127.0,3321865.0,1.0,10.0,42622806.0,27710505.0
190,Vanderbilt,SEC,Derek Mason,"$2,812,523 ",,$0 ,Florida,SEC,"$159,706,937","$141,829,002",Vanderbilt University,Southeastern Conference,95.0,80.0,Vanderbilt,SEC,40550.0,1922.0,Vanderbilt,0.0%,-22.6,-2.7,Vanderbilt University,Nashville,NCAA Division I-FBS,111.0,3491717.0,1.0,10.0,33385110.0,29215452.0
217,Troy,Sun Belt,Neal Brown,"$810,000 ","$490,000 ",$0 ,Troy,Sun Belt,"$32,334,739","$32,334,739",Troy University,Sun Belt Conference,77.0,63.0,Troy,Sun Belt,30000.0,1950.0,Troy,45.5%,1.6,0.3,Troy University,Troy,NCAA Division I-FBS,125.0,959847.0,1.0,14.0,7431780.0,8129799.0
218,Clemson,ACC,Dabo Swinney,"$6,543,350 ","$1,125,000 ",$0 ,Clemson,ACC,"$133,861,515","$131,978,513",Clemson University,Atlantic Coast Conference,83.0,59.0,Clemson,ACC,81500.0,1942.0,Clemson,83.3%,23.3,-1.3,Clemson University,Clemson,NCAA Division I-FBS,122.0,12180407.0,1.0,10.0,63120884.0,55912162.0
70,Kent State,MAC,Sean Lewis,"$440,000 ","$406,000 ",$0 ,Kent State,MAC,"$29,460,111","$29,573,232",Kent State University,Mid-American Conference,79.0,53.0,Kent State,MAC,25319.0,1969.0,Kent State,75.0%,11.8,1.1,Kent State University at Kent,Kent,NCAA Division I-FBS,101.0,1557473.0,1.0,10.0,4683781.0,7026033.0
101,Georgia,SEC,Kirby Smart,"$6,603,600 ","$1,150,000 ",$0 ,Georgia,SEC,"$174,042,482","$143,299,554",University of Georgia,Southeastern Conference,71.0,48.0,Georgia,SEC,92746.0,1929.0,Georgia,80.0%,12.3,-0.8,University of Georgia,Athens,NCAA Division I-FBS,141.0,8445460.0,1.0,10.0,134463859.0,48501193.0
142,South Florida,AAC,Charlie Strong,"$1,000,000 ","$815,000 ",$0 ,South Florida,AAC,"$55,045,769","$53,569,756",University of South Florida,American Athletic Conference,76.0,61.0,South Florida,AAC,65857.0,1998.0,Florida St,33.3%,-10.2,-7.8,University of South Florida-Main Campus,Tampa,NCAA Division I-FBS,109.0,3614599.0,1.0,10.0,19748130.0,19748130.0
134,Michigan,Big Ten,Jim Harbaugh,"$7,504,000 ","$1,325,000 ",$0 ,Michigan,Big Ten,"$197,820,410","$190,952,175",University of Michigan,Big Ten Conference,92.0,73.0,Michigan,Big Ten,107601.0,1927.0,Michigan,33.3%,-6.2,-11.5,Michigan State University,East Lansing,NCAA Division I-FBS,118.0,8493091.0,1.0,14.0,68942427.0,43987682.0
72,Washington,Pac-12,Chris Petersen,"$4,377,500 ","$1,050,000 ",$0 ,Washington,Pac-12,"$133,792,677","$131,317,636",University of Washington,Pac-12 Conference,88.0,65.0,Washington,Pac 12,70138.0,1920.0,Washington,75.0%,5.2,-6.4,Washington State University,Pullman,NCAA Division I-FBS,137.0,3166330.0,1.0,14.0,44039717.0,23049902.0
359,Fresno State,Mt. West,Jeff Tedford,"$1,550,000 ","$2,765,000 ",$0 ,Fresno State,Mt. West,"$49,772,999","$50,079,039","California State University, Fresno",Mountain West Conference,73.0,60.0,Fresno State,Mountain West,41031.0,1980.0,Fresno St,50.0%,2.8,-2.3,California State University-Fresno,Fresno,NCAA Division I-FBS,117.0,1734839.0,1.0,14.0,13361612.0,13361612.0
219,Baylor,Big 12,Matt Rhule,,,$0 ,Texas,Big 12,"$223,879,781","$204,234,897",Baylor University,Big 12 Conference,91.0,59.0,Baylor,Big 12,45140.0,2014.0,Baylor,22.2%,-5.9,-2.1,Baylor University,Waco,NCAA Division I-FBS,120.0,7177625.0,1.0,10.0,56561243.0,35428721.0
187,Rice,C-USA,Mike Bloomgren,,,$0 ,Charlotte,C-USA,"$40,866,430","$38,454,232",Rice University,Conference USA,88.0,86.0,Rice,CUSA,47000.0,1950.0,Rice,40.0%,4.6,10.2,Rice University,Houston,NCAA Division I-FBS,105.0,1919514.0,1.0,14.0,13729316.0,13729316.0
188,Marshall,C-USA,Doc Holliday,"$762,570 ","$145,000 ",$0 ,Marshall,C-USA,"$32,905,904","$32,936,226",Marshall University,Conference USA,84.0,63.0,Marshall,CUSA,38019.0,1991.0,Marshall,70.0%,15.5,0.7,Marshall University,Huntington,NCAA Division I-FBS,126.0,2328773.0,1.0,14.0,10175813.0,10175813.0
181,Liberty,Ind.,Turner Gill,"$947,281 ",,$0 ,,,,,Liberty University,Independent,65.0,55.0,,,,,Liberty,90.9%,17.6,7.9,Liberty University,Lynchburg,NCAA Division I-FBS,119.0,1862583.0,1.0,10.0,15298764.0,15298764.0
291,Duke,ACC,David Cutcliffe,"$2,540,928 ",,$0 ,Virginia Tech,ACC,"$96,772,489","$93,961,068",Duke University,Atlantic Coast Conference,97.0,92.0,Duke,ACC,40004.0,1929.0,Duke,18.2%,-13.3,-8.8,Duke University,Durham,NCAA Division I-FBS,116.0,1806291.0,1.0,9.0,39669829.0,25177567.0
117,Virginia,ACC,Bronco Mendenhall,"$3,550,000 ","$2,165,000 ",$0 ,Virginia,ACC,"$110,219,117","$112,621,238",University of Virginia,Atlantic Coast Conference,90.0,77.0,Virginia,ACC,61500.0,1931.0,Virginia,50.0%,1.1,0.2,Virginia State University,Petersburg,NCAA Division II with football,113.0,226193.0,1.0,8.0,1373145.0,1373145.0
183,Louisville,ACC,Bobby Petrino,"$3,980,434 ","$1,472,917 ",$0 ,Louisville,ACC,"$139,955,824","$151,167,940",University of Louisville,Atlantic Coast Conference,94.0,89.0,Louisville,ACC,55000.0,1998.0,Louisville,36.4%,2.9,2.0,University of Louisville,Louisville,NCAA Division I-FBS,116.0,4187914.0,1.0,10.0,48923931.0,26694575.0
171,Memphis,AAC,Mike Norvell,"$2,600,000 ","$775,000 ",$0 ,Memphis,AAC,"$55,815,109","$55,494,325",University of Memphis,American Athletic Conference,90.0,63.0,Memphis,AAC,62380.0,1965.0,Memphis,72.7%,3.1,-4.3,University of Memphis,Memphis,NCAA Division I-FBS,127.0,4167524.0,1.0,10.0,20831438.0,20831438.0
165,Tulsa,AAC,Philip Montgomery,"$1,518,177 ",,$0 ,Connecticut,AAC,"$80,900,404","$80,814,173",The University of Tulsa,American Athletic Conference,75.0,66.0,Tulsa,AAC,35542.0,1930.0,Tulsa,66.7%,5.6,6.8,University of Tulsa,Tulsa,NCAA Division I-FBS,132.0,1409686.0,1.0,13.0,13268287.0,13268287.0
213,Toledo,MAC,Jason Candle,"$1,125,000 ","$585,000 ",$0 ,Toledo,MAC,"$35,560,555","$35,560,555",University of Toledo,Mid-American Conference,86.0,75.0,Toledo,MAC,26248.0,1937.0,Toledo,66.7%,10.7,0.8,University of Toledo,Toledo,NCAA Division I-FBS,128.0,1325415.0,1.0,10.0,10355750.0,10355750.0
350,Arizona State,Pac-12,Herm Edwards,"$2,000,000 ","$3,010,000 ",$0 ,Arizona State,Pac-12,"$121,698,840","$118,404,377",Arizona State University,Pac-12 Conference,75.0,57.0,Arizona State,Pac 12,56232.0,1958.0,Arizona,0.0%,-22.4,-12.1,Arizona State University-Tempe,Tempe,NCAA Division I-FBS,126.0,3888894.0,1.0,14.0,49676376.0,32000572.0
343,Oklahoma State,Big 12,Mike Gundy,"$5,000,000 ","$900,000 ",$0 ,Oklahoma State,Big 12,"$95,335,482","$95,008,483",Oklahoma State University,Big 12 Conference,68.0,50.0,Oklahoma State,Big 12,60218.0,1920.0,Oklahoma,81.8%,21.3,4.0,Northwestern Oklahoma State University,Alva,NCAA Division II with football,143.0,190394.0,1.0,13.0,1047172.0,1047050.0
168,Houston,AAC,Major Applewhite,"$1,750,000 ","$782,500 ",$0 ,Houston,AAC,"$75,049,955","$73,678,308",University of Houston,American Athletic Conference,67.0,53.0,Houston,AAC,40000.0,2014.0,Houston,37.5%,-2.0,-5.9,University of Houston,Houston,NCAA Division I-FBS,118.0,2669760.0,1.0,10.0,18177111.0,18177111.0
247,Kansas,Big 12,David Beaty,"$1,701,109 ","$2,000,000 ",$0 ,Kansas,Big 12,"$121,553,307","$108,881,800",University of Kansas,Big 12 Conference,76.0,55.0,Kansas,Big 12,50071.0,1921.0,Kansas,0.0%,-30.2,-9.2,University of Kansas,Lawrence,NCAA Division I-FBS,121.0,3858424.0,1.0,13.0,40592570.0,21961196.0
79,Rutgers,Big Ten,Chris Ash,"$2,200,000 ","$960,000 ",$0 ,Rutgers,Big Ten,"$103,251,280","$103,167,344","Rutgers, The State University of New Jersey, New Brunswick",Big Ten Conference,70.0,54.0,Rutgers,Big Ten,52454.0,1994.0,Rutgers,33.3%,-5.4,5.6,Rutgers University-New Brunswick,New Brunswick,NCAA Division I-FBS,122.0,6019251.0,1.0,10.0,32874357.0,32874357.0
85,Wisconsin,Big Ten,Paul Chryst,"$3,750,000 ",,$0 ,Wisconsin,Big Ten,"$157,660,107","$154,621,828",University of Wisconsin-Madison,Big Ten Conference,91.0,77.0,Wisconsin,Big Ten,80321.0,1917.0,Wisconsin,57.1%,7.7,-1.9,Concordia University-Wisconsin,Mequon,NCAA Division III with football,126.0,102317.0,1.0,10.0,402278.0,410218.0
276,Mississippi,SEC,Matt Luke,"$3,000,000 ","$1,550,000 ",$0 ,Mississippi,SEC,"$108,442,428","$113,013,400",University of Mississippi,Southeastern Conference,68.0,49.0,Mississippi,SEC,58580.0,1915.0,Mississippi,50.0%,0.9,2.5,Mississippi College,Clinton,NCAA Division II with football,134.0,249078.0,1.0,6.0,2014435.0,1980069.0
351,Colorado State,Mt. West,Mike Bobo,"$1,800,000 ","$905,000 ",$0 ,Colorado State,Mt. West,"$56,081,379","$54,289,162",Colorado State University,Mountain West Conference,75.0,72.0,Colorado State,Mountain West,41200.0,2017.0,Colorado,66.7%,-3.2,-1.3,Colorado State University-Pueblo,Pueblo,NCAA Division II with football,141.0,468951.0,1.0,21.0,2080893.0,2372427.0
222,Arizona,Pac-12,Kevin Sumlin,"$2,000,000 ","$2,025,000 ",$0 ,Arizona,Pac-12,"$105,091,389","$100,565,835",University of Arizona,Pac-12 Conference,78.0,56.0,Arizona,Pac 12,56037.0,1928.0,Arizona,0.0%,-22.4,-12.1,University of Arizona,Tucson,NCAA Division I-FBS,108.0,5615961.0,1.0,15.0,38970927.0,21694477.0
405,Connecticut,AAC,Randy Edsall,"$1,100,000 ","$650,000 ",$0 ,Connecticut,AAC,"$80,900,404","$80,814,173",University of Connecticut,American Athletic Conference,88.0,76.0,Connecticut,AAC,40000.0,2003.0,,,,,University of Connecticut,Storrs,NCAA Division I-FBS,100.0,3311613.0,1.0,14.0,12087816.0,16678989.0
242,Oregon,Pac-12,Mario Cristobal,"$2,500,000 ","$1,825,000 ",$0 ,Oregon,Pac-12,"$127,508,498","$128,943,543",University of Oregon,Pac-12 Conference,78.0,63.0,Oregon,Pac 12,54000.0,1967.0,Oregon,57.1%,3.0,-4.6,University of Oregon,Eugene,NCAA Division I-FBS,120.0,6490755.0,1.0,14.0,77569503.0,32734040.0
215,Buffalo,MAC,Lance Leipold,"$455,500 ","$381,000 ",$0 ,Buffalo,MAC,"$45,977,952","$45,933,053","University at Buffalo, the State University of New York",Mid-American Conference,84.0,75.0,Buffalo,MAC,29013.0,1993.0,Buffalo,85.7%,21.6,5.6,University at Buffalo,Buffalo,NCAA Division I-FBS,117.0,1569981.0,1.0,14.0,8923004.0,8923004.0
173,Indiana,Big Ten,Tom Allen,"$1,830,000 ","$1,441,668 ",$0 ,Indiana,Big Ten,"$127,832,628","$114,822,135","Indiana University, Bloomington",Big Ten Conference,88.0,63.0,Indiana,Big Ten,52959.0,1960.0,Indiana,75.0%,8.6,9.4,Indiana State University,Terre Haute,NCAA Division I-FCS,115.0,903586.0,1.0,10.0,4370196.0,4184677.0
320,Texas,Big 12,Tom Herman,"$5,500,000 ","$725,000 ",$0 ,Texas,Big 12,"$223,879,781","$204,234,897",Texas Christian University,Big 12 Conference,70.0,59.0,Texas,Big 12,100119.0,1924.0,Texas,70.0%,14.2,4.7,Texas College,Tyler,NAIA Division I,79.0,135606.0,1.0,4.0,378573.0,378573.0
262,Kentucky,SEC,Mark Stoops,"$4,013,600 ","$3,100,000 ",$0 ,Kentucky,SEC,"$150,435,842","$144,886,246",University of Kentucky,Southeastern Conference,79.0,54.0,Kentucky,SEC,61000.0,1973.0,Kentucky,45.5%,-4.1,-0.4,University of Kentucky,Lexington,NCAA Division I-FBS,120.0,4824690.0,1.0,14.0,44541081.0,30625733.0
99,Ohio State,Big Ten,Urban Meyer,"$7,600,000 ","$775,000 ",$0 ,Ohio State,Big Ten,"$210,548,239","$220,572,956",The Ohio State University,Big Ten Conference,69.0,45.0,Ohio State,Big Ten,104944.0,1922.0,Ohio State,87.5%,15.2,0.2,Ohio State University-Main Campus,Columbus,NCAA Division I-FBS,125.0,7970875.0,1.0,10.0,115510031.0,52616230.0
255,Alabama,SEC,Nick Saban,"$8,307,000 ","$1,100,000 ",$0 ,Alabama,SEC,"$164,090,889","$185,317,681",University of Alabama,Southeastern Conference,88.0,63.0,Alabama,SEC,101821.0,1929.0,Alabama,100.0%,29.1,7.0,Alabama State University,Montgomery,NCAA Division I-FCS,120.0,465192.0,1.0,12.0,3508562.0,3508562.0
205,Tennessee,SEC,Jeremy Pruitt,"$3,846,000 ","$1,200,000 ",$0 ,Tennessee,SEC,"$143,765,903","$142,976,173",Tennessee State University,Ohio Valley Conference,55.0,36.0,Tennessee,SEC,102521.0,1921.0,Tennessee,30.0%,-8.6,-4.8,Tennessee State University,Nashville,NCAA Division I-FCS,104.0,589088.0,1.0,9.0,3646205.0,3541351.0
268,Arkansas,SEC,Chad Morris,"$3,500,000 ","$1,000,000 ",$0 ,Arkansas,SEC,"$137,497,788","$129,620,361",Arkansas State University,Sun Belt Conference,77.0,53.0,Arkansas,SEC,72000.0,1938.0,Arkansas,30.0%,-9.2,3.3,University of Arkansas,Fayetteville,NCAA Division I-FBS,128.0,7017521.0,1.0,14.0,70283699.0,43552590.0
372,Georgia Tech,ACC,Paul Johnson,"$3,060,018 ","$1,330,000 ",$0 ,Georgia Tech,ACC,"$85,802,112","$96,334,831",University of Georgia,Southeastern Conference,71.0,48.0,Georgia Tech,ACC,55000.0,1913.0,Texas Tech,40.0%,-7.6,-7.3,University of Georgia,Athens,NCAA Division I-FBS,141.0,8445460.0,1.0,10.0,134463859.0,48501193.0
311,Florida,SEC,Dan Mullen,"$6,070,000 ","$925,000 ",$0 ,Florida,SEC,"$159,706,937","$141,829,002",University of Florida,Southeastern Conference,83.0,36.0,Florida,SEC,88548.0,1930.0,Florida,66.7%,9.0,-2.3,University of Florida,Gainesville,NCAA Division I-FBS,115.0,9216310.0,1.0,10.0,94905944.0,37611096.0
287,Utah,Pac-12,Kyle Whittingham,"$3,787,917 ","$935,000 ",$0 ,Utah,Pac-12,"$99,526,695","$96,000,514",University of Utah,Pac-12 Conference,92.0,70.0,Utah,Pac 12,45017.0,1998.0,Utah,60.0%,4.2,0.2,University of Utah,Salt Lake City,NCAA Division I-FBS,132.0,6276160.0,1.0,10.0,62643143.0,31759405.0
