,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,AssistantPay,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,city_txt,classification_name,PARTIC_MEN_Football,TOTAL_OPEXP_MENWOMEN_Football,MEN_TOTAL_HEADCOACH_Football,MEN_TOTAL_ASSTCOACH_Football,TOTAL_REV_MENWOMEN_Football,TOTAL_EXP_MENWOMEN_Football
192,Nevada,Mt. West,Jay Norvell,"$500,000 ","$210,000 ",$0 ,Nevada,Mt. West,"$43,653,404","$43,436,728","University of Nevada, Reno",Mountain West Conference,75.0,48.0,Nevada,Mountain West,29993.0,1966.0,Nevada,77.8%,7.4,0.9,University of Nevada-Reno,Reno,NCAA Division I-FBS,128.0,2682110.0,1.0,10.0,10569596.0,10593220.0
143,Maryland,Big Ten,DJ Durkin,"$2,512,000 ","$625,000 ",$0 ,Maryland,Big Ten,"$108,796,303","$108,785,924","University of Maryland, College Park",Big Ten Conference,85.0,68.0,Maryland,Big Ten,54000.0,1950.0,Maryland,40.0%,-8.4,4.9,University of Maryland-College Park,College Park,NCAA Division I-FBS,116.0,2718520.0,1.0,10.0,44673149.0,21391499.0
172,Cincinnati,AAC,Luke Fickell,"$2,000,000 ","$625,000 ",$0 ,Cincinnati,AAC,"$68,845,672","$66,832,326",University of Cincinnati,American Athletic Conference,87.0,66.0,Cincinnati,AAC,40000.0,1916.0,Cincinnati,90.0%,20.7,8.0,University of Cincinnati-Main Campus,Cincinnati,NCAA Division I-FBS,119.0,3024256.0,1.0,14.0,15782967.0,15782967.0
214,Akron,MAC,Terry Bowden,"$412,500 ","$225,000 ",$0 ,Akron,MAC,"$37,194,485","$37,275,978",University of Akron,Mid-American Conference,78.0,67.0,Akron,MAC,30000.0,2009.0,Akron,16.7%,-24.2,-4.8,University of Akron Main Campus,Akron,NCAA Division I-FBS,110.0,1120608.0,1.0,10.0,7209428.0,7209428.0
410,Massachusetts,Ind.,Mark Whipple,"$500,000 ","$305,000 ",$0 ,Massachusetts,A-10,"$49,461,013","$48,445,234","University of Massachusetts, Amherst",Independent,67.0,51.0,,,,,,,,,University of Massachusetts-Dartmouth,North Dartmouth,NCAA Division III with football,94.0,41761.0,1.0,9.0,226389.0,207054.0
155,Minnesota,Big Ten,P.J. Fleck,"$3,550,000 ","$900,000 ",$0 ,Minnesota,Big Ten,"$130,456,454","$129,450,256","University of Minnesota, Twin Cities",Big Ten Conference,93.0,74.0,Minnesota,Big Ten,50805.0,2009.0,Minnesota,42.9%,-2.9,-2.6,Southwest Minnesota State University,Marshall,NCAA Division II with football,114.0,122037.0,1.0,10.0,1072711.0,1072711.0
191,Hawaii,Mt. West,Nick Rolovich,"$486,504 ","$1,260,000 ",$0 ,Nevada,Mt. West,"$43,653,404","$43,436,728","University of Hawaii, Manoa",Mountain West Conference,71.0,56.0,Hawaii,Mountain West,50000.0,1975.0,Hawaii,55.6%,-1.3,-0.5,University of Hawaii at Manoa,Honolulu,NCAA Division I-FBS,117.0,3065535.0,1.0,14.0,10421289.0,13027756.0
185,Charlotte,C-USA,Brad Lambert,"$625,000 ","$120,000 ",$0 ,Charlotte,C-USA,"$40,866,430","$38,454,232",The University of North Carolina at Charlotte,Conference USA,80.0,69.0,UNC Charlotte,CUSA,15314.0,2013.0,Charlotte,33.3%,-5.5,-4.1,University of North Carolina at Charlotte,Charlotte,NCAA Division I-FBS,137.0,1581839.0,1.0,10.0,10614336.0,10614336.0
15,Air Force,Mt. West,Troy Calhoun,885000,247000,$0 ,Air Force,Mt. West,"$60,009,782","$54,192,115",Colorado State University,Mountain West Conference,75.0,72.0,Air Force,Mountain West,52237.0,1962.0,Air Force,50.0%,9.3,7.4,,,,,,,,,
166,UCLA,Pac-12,Chip Kelly,"$3,300,000 ","$1,085,000 ",$0 ,UCLA,Pac-12,"$108,412,967","$127,339,042",Stanford University,Pac-12 Conference,90.0,86.0,UCLA,Pac 12,89702.0,1921.0,UCLA,42.9%,4.7,5.7,,,,,,,,,
186,Army,Ind.,Jeff Monken,932521,,$0 ,,,,,,,,,Army,Independent,38000.0,1924.0,Army,75.0%,11.9,2.5,,,,,,,,,
212,LSU,SEC,Ed Orgeron,"$3,500,000 ","$1,575,000 ",$0 ,LSU,SEC,"$157,787,782","$148,977,880",,,,,LSU,SEC,100500.0,1924.0,LSU,50.0%,-2.9,-1.5,,,,,,,,,
221,Navy,AAC,Ken Niumatalolo,"$2,163,000 ",,$0 ,Connecticut,AAC,"$80,900,404","$80,814,173",,,,,Navy,AAC,34000.0,1959.0,Navy,30.0%,-13.7,-7.8,,,,,,,,,
